epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
77;0.02564335162991961;0.04630130683112281;1.8039594425185386
78;0.024614627909493956;0.04584060113052235;1.804669754329661
79;0.023627173072646352;0.045384479528235586;1.7829025702107164
80;0.02267933155266054;0.044932896411722156;1.787507341580601
81;0.02176951419850475;0.044485806622294115;1.8003892218730104
82;0.020896195610461236;0.044043165450599935;1.7949930479017309
83;0.02005791158264114;0.04360492863215357;1.7847248867737162
84;0.01925325664809707;0.043171052342907974;1.7885100292224525
85;0.018480881722417256;0.04274149319487267;1.7889877033784474
86;0.017739491841850728;0.042316208231774885;1.789253880414163
87;0.01702784399217116;0.0418951549247639;1.7913759767164252
88;0.01634474502463932;0.04147829116815814;1.7857171749911782
89;0.01568904965556995;0.04106557527523455;1.7967877579184188
90;0.015059658546149225;0.04065696597405991;1.7857658121201274
91;0.014455516459283365;0.0402524224033636;1.7956709092594902
92;0.013875610490388183;0.039851904108451415;1.801817555637026
93;0.013318968369153339;0.03945537103716011;1.7867510253143952
94;0.012784656829433994;0.039062783535852116;1.7937164820803042
95;0.012271780044536827;0.03867410234545013;1.7856559340350706
96;0.01177947812527711;0.03828928859751121;1.7866672253039262
97;0.011306925678288502;0.03790830381033988;1.7912796379543514
98;0.01085333042216863;0.03753110988513996;1.799533643339028
99;0.0104179318591401;0.037157669102204575;1.7864192489922823
